row_id,repayment_rate
0,39.702104296
1,46.9962202599
2,32.001577438
9,70.0549969363
10,73.5832677631
14,74.6901729014
16,14.6336401041
18,68.8508032684
20,65.8585155065
21,58.8971057607
22,28.890341571
25,48.0442689041
29,64.7645402416
30,46.5358977666
32,74.3468349683
34,32.9318080732
37,24.409341595
41,31.1661668408
44,71.3499975652
45,75.5650567273
46,40.935778681
47,55.879000052
51,66.7593731287
57,62.3257850452
59,53.8783089925
62,53.5416183031
65,41.163379269
66,62.7924019373
67,34.1624020837
69,65.1855062815
74,77.125691824
76,37.210173389
77,55.6031310545
78,72.0540147451
79,75.6003666292
81,75.2125272381
82,23.819603293
86,74.1311931359
90,39.6655654415
91,73.6831794462
92,83.1734327355
96,77.1097615422
97,75.0377779668
100,70.2300547921
107,69.0716964907
110,49.691109017
112,69.9026007122
115,49.4724485978
116,49.2886092377
120,55.4890915723
121,72.4475750421
123,93.0194715372
126,80.2440638052
127,61.0138911791
129,43.9058799179
130,28.5288954226
133,35.7464554336
134,30.5844736478
135,68.047750182
136,46.7272583132
137,39.0572812749
139,79.8463711092
141,21.899445016
142,59.7979475448
146,76.8714233359
150,89.1294656395
153,71.8722624369
156,29.4812215041
157,54.6455404941
158,26.3312311308
159,18.934535922
160,67.0245529053
165,60.2051198231
166,77.5908276769
170,43.4314271425
174,53.2742257772
177,79.0397851455
179,54.4458032808
182,66.730816956
186,79.1713155666
189,29.3492705276
194,25.5454694738
196,58.9505248528
199,57.5983101176
202,78.1996024424
204,77.7818324315
205,49.0373658245
207,36.2414230541
212,62.2653823847
214,36.1090156176
215,72.1368073908
218,68.8612992645
221,34.7952593822
225,64.9291376291
226,48.8941554688
227,28.9334772847
228,66.373170476
229,67.8013892034
230,66.5981926745
231,37.4311264747
232,41.0480654647
238,53.9931324363
239,36.0979034466
242,71.3728418722
243,33.9234316058
244,33.6284513034
245,53.2714479015
247,67.3319913172
248,71.4697578469
249,34.6705423259
250,44.6398478523
251,53.8657872839
255,38.5348831758
259,68.1643893208
263,73.2624387361
264,64.0161661257
265,59.7031010631
266,50.187155254
267,78.0650899468
268,58.988554504
270,11.4620252681
272,80.240328848
276,75.6798759415
277,35.8840289533
278,36.1374597235
283,43.3176820341
284,48.4561207591
286,66.3015789043
288,63.1804558692
290,77.3562971745
292,20.4802258822
300,81.1204167361
303,80.8000283853
304,24.4756168759
306,60.0064040779
307,71.2353615936
308,75.0083943459
309,60.9684911715
310,70.5895979176
312,38.7868539643
313,66.600956563
316,33.3556000349
320,61.6731650776
323,59.1528660151
324,45.6657619355
326,54.7607503555
327,47.0830538323
328,41.2013667425
329,26.1105444702
330,28.5365871917
331,35.6789674137
333,31.7591822627
334,25.5511453923
337,79.6552105574
339,20.3257731348
340,72.2307065273
341,87.2489575937
342,71.2421830227
343,83.5615643739
345,66.7628194136
349,72.3387465326
350,71.323066679
352,34.9857155808
354,68.9893980753
355,26.0230471651
356,54.4562862571
357,46.8713552727
361,65.0907424234
364,63.3572780616
365,25.8292312985
367,33.7030912978
369,46.4599947499
370,50.7467735566
382,56.1521904752
386,77.5986992275
388,47.1403980071
389,68.8462498765
393,77.1633054877
396,32.0846337948
397,68.2774103181
398,29.8781729599
399,40.9102409419
400,72.3373977577
404,44.9828341005
410,36.0538300911
411,47.7681057414
413,68.6909142217
414,60.5580100503
418,39.4097539543
421,28.5373684883
422,30.1122623103
425,19.916532017
428,37.5911051918
429,32.4489316789
430,26.594708104
435,79.8566366881
438,73.63172719
441,66.7195448562
442,67.8421437551
443,51.5636291702
444,22.5596053874
445,70.9711836082
446,55.2141340517
447,82.7145278037
450,57.3670249601
451,34.5564310559
452,49.6053443566
453,28.8607360101
454,36.9491191583
455,71.8448479114
456,28.9500505141
457,24.7320085484
461,67.3453059787
465,62.8704630967
466,32.6090573148
467,71.8326245933
468,78.0399444749
470,71.51202846
473,91.183342561
478,41.5225064093
479,65.4839918104
480,40.3799056295
483,54.5714027794
484,44.4566222181
490,37.2560521125
492,31.9929737047
495,50.2995275073
496,58.3663249326
499,51.9197069427
506,71.3290105466
507,71.9649728966
509,72.6200707454
511,39.7614332594
512,46.672584956
513,65.2634935074
516,65.7273008658
517,57.3415063744
520,36.9091612792
525,26.6646928604
526,45.8362791467
532,61.1108357423
533,56.3367236294
534,38.1697738027
536,40.7138573268
543,47.6899500126
544,61.2544936124
545,31.818011571
546,44.4264657746
547,29.2190097787
552,64.194546969
554,85.1083019854
555,71.8833128587
562,33.8667579976
566,36.2287193865
569,55.5651717416
574,68.3432347661
575,60.3836483195
576,34.0039413097
577,42.7695123326
578,59.3433225436
579,51.4954596246
581,31.0895117206
588,37.8853243068
589,77.2750021424
590,75.3769030369
592,82.0900760467
594,48.671237429
595,36.7971178653
599,82.5825300794
602,50.3664809381
604,26.3312311308
606,66.7126757779
608,51.2341979402
609,71.2893473638
614,33.1396969044
616,40.3921321395
619,34.3267825059
622,67.4276892422
625,46.7875714747
626,18.0492022326
629,63.8078708656
630,68.3845207693
